Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Years,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
NCB06,17.599999999999998,0,0.08856409933333334,8,160.692,6,9,2,1,1,1597.92
FDA45,21.25,0,0.13599203525,13,178.237,6,9,2,1,1,529.311
NCO26,7.235,0,0.08267312011111111,9,117.5492,6,9,2,1,1,1969.4364
DRJ25,14.599999999999998,0,0.16196453600000002,14,50.3692,2,6,2,1,1,1034.6532
FDR28,13.849999999999998,1,0.027856687222222218,5,161.52100000000002,3,4,1,2,2,1794.3310000000001
FDI04,13.650000000000002,1,0.08335433,5,197.6426,3,4,1,2,2,2768.3964
DRK12,9.5,0,0.03726694955555556,14,31.29,5,28,1,2,3,898.83
FDX20,7.365000000000001,0,0.04614628388888889,6,226.172,8,16,2,0,1,3169.208
NCI18,18.349999999999998,0,0.014037086125,9,223.5746,3,4,1,2,2,3589.9936
FDB36,5.464999999999999,1,0.030340533875000006,0,132.5626,3,4,1,2,2,262.3252
FDN13,18.599999999999998,0,0.1648703711111111,2,99.8358,2,6,2,1,1,1910.1802
DRD24,13.849999999999998,0,0.0352052945,14,140.9154,2,6,2,1,1,1701.7848
FDQ28,14.0,1,0.06301358939999999,5,154.5656,1,26,0,2,1,2471.4496
FDM22,14.0,1,0.043770823199999996,13,54.763999999999996,1,26,0,2,1,1331.6
FDR07,21.349999999999998,0,0.08887772969999999,6,97.0094,5,28,1,2,3,1808.9786
FDV25,5.905,0,0.04441604033333333,3,222.5456,3,4,1,2,2,3315.684
DRF49,7.269999999999998,0,0.07706680666666667,14,114.2518,8,16,2,0,1,2618.5914
FDW51,6.155,1,0.10182503377777778,10,214.55599999999998,8,16,2,0,1,2769.728
DRL01,19.5,1,0.08050705009999999,14,233.4958,2,6,2,1,1,5375.0034
FDP25,15.200000000000001,0,0.024244678999999998,3,216.8824,2,6,2,1,1,2838.9712
FDL50,12.15,1,0.042359248,3,125.0046,3,4,1,2,2,1743.0644
NCB30,14.599999999999998,0,0.029781319888888894,9,198.8084,5,28,1,2,3,5555.4352
FDW11,12.599999999999998,0,0.052474582,1,61.9194,3,4,1,2,2,619.194
NCM43,14.5,0,0.022264467399999995,11,164.821,6,9,2,1,1,2120.573
FDK44,16.599999999999998,0,0.1189452657777778,6,173.0738,2,6,2,1,1,3823.0236
FDM15,11.799999999999999,1,0.05586970044444444,10,151.4366,1,26,0,2,1,1360.2294
FDS31,13.099999999999998,1,0.03440078722222222,6,178.8318,1,26,0,2,1,3969.4996
FDI32,17.7,0,0.1643646422,6,115.1834,0,15,2,2,0,345.5502
FDR47,17.849999999999998,0,0.0853547126,1,196.5794,0,15,2,2,0,585.2382
FDB35,12.299999999999999,1,0.0738731555,15,92.6804,7,11,2,1,1,1010.6844
NCU05,11.799999999999999,0,0.06318220511111111,8,81.4618,0,15,2,2,0,161.1236
DRY23,9.394999999999998,1,0.1182885868888889,14,42.1112,4,28,2,0,0,42.6112
FDO24,11.099999999999998,0,0.15294972040000002,0,157.4604,7,11,2,1,1,3010.7476
FDQ28,14.0,1,0.06301358939999999,5,153.0656,5,28,1,2,3,6024.1584
FDV39,11.299999999999999,0,0.0064770374444444445,10,198.1426,7,11,2,1,1,988.7130000000001
NCO17,10.0,0,0.06326427488888889,8,117.944,4,28,2,0,0,239.688
FDU50,5.75,1,0.06580565049999999,4,112.8176,1,26,0,2,1,1374.2112
FDT12,6.215,1,0.0480399793,0,226.8062,5,28,1,2,3,4739.8302
FDK58,11.349999999999998,1,0.03877750711111111,13,100.0016,3,4,1,2,2,1012.0160000000001
FDO08,11.099999999999998,1,0.0560771889,6,165.7526,4,28,2,0,0,657.8104
NCW29,14.0,0,0.032996464200000006,8,130.431,9,14,1,0,1,778.9860000000001
FDE04,19.75,1,0.017384740444444446,5,179.766,7,11,2,1,1,2336.958
NCB19,6.5249999999999995,0,0.09790382200000002,9,85.0882,9,14,1,0,1,2233.0932
FDV15,10.299999999999999,0,0.15848861633333333,10,103.9648,9,14,1,0,1,1661.8368
FDL58,5.78,1,0.07731122380000001,13,264.7568,9,14,1,0,1,4745.8224
FDA08,11.849999999999998,1,0.04874125022222221,6,164.1526,7,11,2,1,1,3124.5994
FDT43,16.349999999999998,0,0.0234906531,6,50.1324,3,4,1,2,2,467.3916
NCX06,17.599999999999998,0,0.017933609599999997,9,182.5976,5,28,1,2,3,5070.7328
FDT20,10.5,0,0.044528822555555556,6,37.6164,8,16,2,0,1,540.6296
FDB41,19.0,1,0.1112494861,5,48.0718,8,16,2,0,1,992.7078
NCN55,14.599999999999998,0,0.05738475877777779,11,238.8538,9,14,1,0,1,6008.845
FDE40,15.599999999999998,1,0.09643654355555555,4,62.9194,5,28,1,2,3,2105.2596
FDX49,4.615000000000001,1,0.10188087871428571,3,232.63,5,28,1,2,3,5359.69
NCM53,18.75,0,0.05598008833333333,8,104.62799999999999,7,11,2,1,1,745.696
FDE36,5.259999999999999,1,0.043597660999999996,0,161.8868,6,9,2,1,1,3275.736
FDN57,18.25,0,0.05880384944444444,13,140.2154,7,11,2,1,1,1701.7848
FDI24,10.299999999999999,0,0.08537858133333334,0,177.937,5,28,1,2,3,6704.606
FDI19,15.099999999999998,0,0.050213725375,10,242.7512,8,16,2,0,1,4119.9704
FDF24,15.5,1,0.027290854000000003,0,81.5934,0,15,2,2,0,327.5736
FDG52,13.650000000000002,0,0.06569195425,5,45.7402,9,14,1,0,1,780.9834
DRF36,16.099999999999998,0,0.02536195288888889,14,189.3846,7,11,2,1,1,3630.6074
FDS45,5.175,1,0.033720113499999996,13,107.3622,4,28,2,0,0,317.5866
FDX40,12.849999999999998,0,0.1032726509,5,39.7164,0,15,2,2,0,231.6984
DRK12,9.5,0,0.03726694955555556,14,32.99,6,9,2,1,1,133.16
DRC27,13.799999999999999,0,0.0664234093,4,245.1802,6,9,2,1,1,5650.6446
FDL58,5.78,1,0.07731122380000001,13,263.7568,2,6,2,1,1,2636.5679999999998
NCD30,19.7,0,0.02591277966666667,9,96.0726,7,11,2,1,1,1272.3438
NCZ54,14.650000000000002,0,0.0813447597,9,161.5552,0,15,2,2,0,324.9104
FDE10,6.670000000000001,1,0.08674685777777777,13,130.0626,0,15,2,2,0,131.1626
FDR44,6.11,1,0.09157041555555556,6,131.2968,0,15,2,2,0,260.9936
FDP28,13.650000000000002,1,0.08674445977777778,5,260.0936,0,15,2,2,0,260.9936
FDX15,17.2,0,0.15644439025,10,160.6578,1,26,0,2,1,3690.5294
FDA39,6.32,0,0.011040999499999999,10,40.2822,6,9,2,1,1,1139.1838
FDY24,4.88,1,0.1258877755,0,52.9298,9,14,1,0,1,1995.4026
FDC60,5.424999999999999,1,0.1308661654,0,88.3514,2,6,2,1,1,1416.8224
FDH28,15.849999999999998,1,0.11483888260000001,5,37.2506,8,16,2,0,1,265.6542
FDT25,7.5,0,0.058019099399999996,3,121.7072,2,6,2,1,1,3552.7088
DRJ13,12.650000000000002,0,0.067650708,14,161.5578,1,26,0,2,1,2406.867
NCO07,9.06,0,0.010599994111111111,11,211.956,4,28,2,0,0,213.05599999999998
FDW20,20.75,0,0.023294120111111108,6,124.17299999999999,1,26,0,2,1,2956.152
DRF27,8.93,0,0.030811647777777784,4,152.134,4,28,2,0,0,153.134
FDS49,9.0,0,0.07721649277777778,3,79.7644,6,9,2,1,1,1649.8524
FDX25,16.7,0,0.07659550849999999,3,181.9292,5,28,1,2,3,3101.2964
NCX42,6.36,0,0.006482338555555556,9,165.6526,5,28,1,2,3,4769.1254
FDG33,5.365000000000001,1,0.1603242983,12,170.4764,5,28,1,2,3,3435.528
FDL56,14.099999999999998,0,0.13637860022222223,6,86.4198,7,11,2,1,1,1133.8574
FDF14,7.549999999999999,0,0.0271951145,3,152.334,6,9,2,1,1,2603.278
NCD06,13.0,0,0.107694204,9,45.406000000000006,8,16,2,0,1,605.878
DRM47,9.299999999999999,0,0.04709999833333334,7,192.8846,5,28,1,2,3,2293.0152
FDS46,17.599999999999998,1,0.05123912522222222,13,118.7782,4,28,2,0,0,119.1782
FDB35,12.299999999999999,1,0.0738731555,15,92.9804,1,26,0,2,1,1929.4884
FDX21,7.049999999999999,0,0.09713413080000002,13,109.8912,5,28,1,2,3,2074.6328
NCU05,11.799999999999999,0,0.06318220511111111,8,79.9618,5,28,1,2,3,241.6854
NCR38,17.25,0,0.1230832778888889,9,251.3724,7,11,2,1,1,6795.1548
NCR18,15.849999999999998,0,0.020506701375,9,42.7112,2,6,2,1,1,639.168
NCU41,18.849999999999998,0,0.05599504433333333,8,192.1846,6,9,2,1,1,3248.4382
FDY56,16.349999999999998,1,0.0713494342,6,227.6062,2,6,2,1,1,7222.5984
DRJ51,14.099999999999998,0,0.08561576922222222,4,229.0668,6,9,2,1,1,3225.1352
FDK21,7.905,0,0.01077018888888889,13,249.0408,6,9,2,1,1,3755.112
FDY25,12.0,0,0.029752662875000002,3,179.3976,1,26,0,2,1,3440.8544
FDU44,12.150000000000002,1,0.06334854655555555,6,163.4552,6,9,2,1,1,974.7312
FDL43,10.1,0,0.02934476533333334,10,75.367,9,14,1,0,1,535.969
FDF05,17.5,0,0.02913497122222222,5,262.491,2,6,2,1,1,5259.82
DRF15,18.349999999999998,0,0.034651979900000004,4,152.034,4,28,2,0,0,306.268
FDL20,17.099999999999998,0,0.12496619344444444,6,112.3886,3,4,1,2,2,1779.0176
FDV32,7.784999999999998,0,0.09618275811111113,6,61.451,9,14,1,0,1,759.012
FDJ34,11.799999999999999,1,0.09374293212500001,13,125.9704,1,26,0,2,1,1877.556
FDG08,13.150000000000002,1,0.1608149465555556,6,171.8764,7,11,2,1,1,3779.0808
FDQ04,6.3999999999999995,0,0.0883987467,5,41.5796,4,28,2,0,0,41.2796
FDW13,8.5,0,0.11190293390000002,3,51.1324,2,6,2,1,1,259.66200000000003
NCI17,8.644999999999998,0,0.1395464888888889,8,96.34100000000001,1,26,0,2,1,193.082
FDY03,17.599999999999998,1,0.087023351,10,110.9202,7,11,2,1,1,1687.8029999999999
FDS12,9.1,0,0.1990543252,0,127.5362,2,6,2,1,1,4655.9394
FDJ55,12.799999999999999,1,0.025312099888888887,10,225.9404,1,26,0,2,1,4950.8888
DRK01,7.630000000000001,0,0.06620944866666666,14,95.4436,6,9,2,1,1,1418.154
FDG28,9.284999999999998,1,0.04384549144444445,5,246.4144,2,6,2,1,1,1225.072
FDY38,13.599999999999998,1,0.12921797000000002,4,231.03,7,11,2,1,1,5359.69
FDN01,8.894999999999998,0,0.0682887242,2,176.237,7,11,2,1,1,1764.37
NCR54,16.349999999999998,0,0.08813219655555556,9,195.21099999999998,1,26,0,2,1,2553.343
FDG29,17.599999999999998,0,0.056344334249999996,5,43.3454,1,26,0,2,1,1006.6896
FDG24,7.9750000000000005,0,0.014644772124999999,0,85.225,1,26,0,2,1,1081.925
FDG59,15.849999999999998,0,0.042077578,15,36.7164,2,6,2,1,1,308.9312
FDM28,15.700000000000001,0,0.0516775654,5,178.666,1,26,0,2,1,2516.724
FDW04,8.985,1,0.050687561250000006,5,128.83100000000002,8,16,2,0,1,1428.141
FDS26,20.349999999999998,0,0.09624148244444444,4,260.1594,1,26,0,2,1,2093.2752
FDQ56,6.590000000000002,0,0.11359037444444445,6,85.6908,1,26,0,2,1,1929.4884
FDK51,19.849999999999998,0,0.005048548333333334,4,264.0884,6,9,2,1,1,5829.7448
FDL22,16.849999999999998,0,0.03945632888888889,13,91.4488,8,16,2,0,1,2082.6224
FDH19,19.349999999999998,0,0.03587643255555556,10,173.1738,5,28,1,2,3,7298.4996
FDY55,16.75,0,0.05432453144444445,6,256.4988,1,26,0,2,1,7452.9652
FDY03,17.599999999999998,1,0.087023351,10,110.5202,2,6,2,1,1,450.0808
FDK21,7.905,0,0.01077018888888889,13,250.4408,0,15,2,2,0,500.6816
FDZ10,17.849999999999998,0,0.0463758074,13,126.20200000000001,5,28,1,2,3,3668.558
FDZ32,7.784999999999998,1,0.037112284,6,103.1964,3,4,1,2,2,736.3748
NCZ18,7.825000000000001,0,0.18095437455555555,9,253.0698,6,9,2,1,1,6088.0752
NCF07,9.0,0,0.032052351375,9,101.0016,5,28,1,2,3,2125.2336
DRE49,20.75,0,0.018148152222222224,14,153.0024,2,6,2,1,1,2277.036
FDJ08,11.099999999999998,0,0.11999708800000002,6,190.3846,4,28,2,0,0,573.2538
FDT39,6.259999999999999,1,0.0112811137,10,151.1366,6,9,2,1,1,2267.049
FDE08,18.2,0,0.057136627777777775,6,147.3734,0,15,2,2,0,296.9468
NCD06,13.0,0,0.107694204,9,46.306000000000004,3,4,1,2,2,559.2719999999999
FDB57,20.25,1,0.02038958077777778,6,222.1772,6,9,2,1,1,5559.43
NCT54,8.695,0,0.10635280611111111,9,95.5094,9,14,1,0,1,1237.7222
DRF49,7.269999999999998,0,0.07706680666666667,14,113.5518,7,11,2,1,1,569.259
FDM25,10.695,1,0.06327776360000001,2,174.0712,5,28,1,2,3,3866.9664
FDF20,12.849999999999998,0,0.037977679,6,198.4768,7,11,2,1,1,1379.5376
FDH27,7.075000000000001,0,0.06670289059999998,4,142.7128,3,4,1,2,2,1869.5664
FDV60,20.2,1,0.12244236770000001,0,196.21099999999998,5,28,1,2,3,5499.508000000001
FDY59,8.195,0,0.030277000999999994,0,94.3462,9,14,1,0,1,925.462
FDK36,7.090000000000002,0,0.006956501222222221,0,47.9034,6,9,2,1,1,583.2408
NCM31,6.095,0,0.07832255655555556,11,141.4154,8,16,2,0,1,1418.154
FDE33,19.349999999999998,1,0.056743993199999995,6,80.2644,2,6,2,1,1,942.7728
FDU36,6.1499999999999995,0,0.045053316777777776,0,99.3384,8,16,2,0,1,2364.9216
FDV13,17.349999999999998,1,0.027636576,3,87.9856,5,28,1,2,3,3251.7672
FDV20,20.2,1,0.062351684100000006,6,125.2678,4,28,2,0,0,254.3356
NCQ54,17.7,0,0.012095990666666667,9,167.0474,6,9,2,1,1,5895.659000000001
FDO23,17.849999999999998,0,0.14246229066666669,1,93.7436,3,4,1,2,2,1134.5232
DRE60,9.394999999999998,0,0.172759627,14,224.972,7,11,2,1,1,7696.648
DRP47,15.75,0,0.14668165299999997,7,250.5382,2,6,2,1,1,2775.7202
FDB21,7.4750000000000005,0,0.144612242,6,241.2854,7,11,2,1,1,5317.0788
FDR04,7.075000000000001,0,0.021757498666666666,5,98.0068,3,4,1,2,2,874.8612
FDX23,6.445,0,0.031939243666666665,0,92.6436,8,16,2,0,1,1039.9796
FDX19,19.099999999999998,0,0.10405596177777779,6,235.0958,6,9,2,1,1,3038.0454
FDD40,20.25,1,0.01591312155555556,4,193.6162,6,9,2,1,1,3848.324
